snapshot_at,sample_downloads_total,purchase_leads_total,purchases_total,revenue_krw,notes
2026-07-10T03:00:00Z,0,0,0,0,launch baseline
2026-07-10T03:07:10.698Z,0,0,0,0,automated GitHub snapshot
2026-07-11T03:42:31.523Z,0,0,0,0,automated GitHub snapshot
2026-07-12T03:57:07.332Z,0,0,0,0,automated GitHub snapshot
2026-07-13T03:59:35.084Z,0,0,0,0,automated GitHub snapshot
2026-07-14T03:33:14.389Z,0,0,0,0,automated GitHub snapshot
2026-07-15T03:34:10.114Z,0,0,0,0,automated GitHub snapshot
2026-07-16T03:36:42.851Z,0,0,0,0,automated GitHub snapshot
2026-07-17T03:36:36.868Z,0,0,0,0,automated GitHub snapshot
2026-07-18T03:31:05.124Z,0,0,0,0,automated GitHub snapshot
2026-07-19T03:53:54.531Z,0,0,0,0,automated GitHub snapshot
2026-07-20T04:04:06.869Z,0,0,0,0,automated GitHub snapshot
2026-07-21T03:44:30.281Z,0,0,0,0,automated GitHub snapshot
2026-07-22T03:45:52.413Z,0,0,0,0,automated GitHub snapshot
2026-07-23T03:44:22.615Z,0,0,0,0,automated GitHub snapshot
2026-07-24T03:43:35.139Z,0,0,0,0,automated GitHub snapshot
2026-07-25T03:36:22.134Z,0,0,0,0,automated GitHub snapshot
2026-07-26T03:54:52.723Z,0,0,0,0,automated GitHub snapshot
2026-07-27T04:01:41.153Z,0,0,0,0,automated GitHub snapshot
2026-07-28T03:34:46.702Z,0,0,0,0,automated GitHub snapshot
2026-07-29T03:39:08.160Z,0,0,0,0,automated GitHub snapshot
2026-07-30T03:27:54.628Z,0,0,0,0,automated GitHub snapshot
2026-07-31T03:49:18.279Z,0,0,0,0,automated GitHub snapshot
2026-08-01T03:49:24.078Z,0,0,0,0,automated GitHub snapshot
2026-08-02T03:52:22.877Z,0,0,0,0,automated GitHub snapshot
2026-08-03T03:54:04.987Z,0,0,0,0,automated GitHub snapshot
2026-08-04T03:36:18.894Z,0,0,0,0,automated GitHub snapshot
2026-08-05T03:31:57.270Z,0,0,0,0,automated GitHub snapshot
2026-08-06T03:35:45.234Z,0,0,0,0,automated GitHub snapshot
2026-08-07T03:14:42.170Z,0,0,0,0,automated GitHub snapshot
2026-08-08T02:20:41.218Z,0,0,0,0,automated GitHub snapshot
